"Ingredient","State","Pressure","Time (min)","Water Ratio","Release Method","Texture/Goal","Post-Processing","Source","Source URL"
"Black Beans","Unsoaked","High","20-25","4 cups per 1 lb beans","20 min Natural release","Tender, firm texture","Drain, season to taste","Love and Lemons",""
"Black Beans","Unsoaked","High","30-35","4 cups per 1 lb beans","20 min Natural release","Tender","Drain if desired","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Black Beans","Soaked overnight","High","10-12","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Black Beans","Unsoaked","High","25","6 cups water per 1 cup beans","20 min Natural release","Tender","Drain excess cooking liquid","Green Healthy Cooking",""
"Black Beans","Soaked 8-12 hrs","High","15","Cover by 2 inches","Natural release","Tender","Drain","Green Healthy Cooking",""
"Black Beans","Unsoaked","High","30","6 cups per 2 cups beans","Natural release (20-30 min)","Tender","Drain or leave in liquid","Low Salt Kitchen",""
"Black Beans","Unsoaked","High","30","Water to cover + 2-3 inches","20 min NPR then QR","Tender","Remove bay leaf, onion","One Lovely Life",""
"Black Beans","Unsoaked","High","25","3 cups water/broth","Natural release","Tender, hold shape","Season with salt","Simplify Live Love",""
"Black Beans","Unsoaked","High","20","1 1/2 cups water covers beans","Natural release 20 min","Tender","Drain","Letty's Kitchen","https://www.lettyskitchen.com/how-to-cook-black-beans-pressure-cooker/"
"Black Beans","Soaked 4+ hrs","High","5-6","Cover by 1.5 inches","Natural release 15-20 min","Tender","Drain","Letty's Kitchen","https://www.lettyskitchen.com/how-to-cook-black-beans-pressure-cooker/"
"Black Beans","Soaked","High","9","Cover by 1.5 inches","Quick release","Tender","Drain","Letty's Kitchen","https://www.lettyskitchen.com/how-to-cook-black-beans-pressure-cooker/"
"Kidney Beans (Red)","Unsoaked","High","25-30","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","Low Salt Kitchen",""
"Kidney Beans","Soaked overnight","High","10-12","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Kidney Beans","Unsoaked","High","40-45","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Kidney Beans","Soaked overnight","High","8","With aromatics","Natural release 10 min","Tender","Taste and adjust","Rainbow Plant Life","https://rainbowplantlife.com/how-to-cook-beans-in-the-instant-pot/"
"Kidney Beans","Unsoaked","High","28-30","4 cups per 1 lb beans","Natural release","Tender","Drain","Simplify Live Love",""
"Pinto Beans","Unsoaked","High","25-30","4 cups per 1 lb beans","20 min Natural release","Tender for side dish","Drain","Simplify Live Love",""
"Pinto Beans","Unsoaked","High","28","4 cups per 1 lb beans","Natural release","Tender for refried beans","Drain","Simplify Live Love",""
"Pinto Beans","Unsoaked","High","35-40","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Pinto Beans","Soaked overnight","High","15-20","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Pinto Beans","Unsoaked","High","25","Water + seasonings","Natural release + 10 min","Tender","Drain some liquid if needed","Busy Cooks",""
"Pinto Beans","Soaked 8-12 hrs","High","15","Cover by 2 inches","Natural release","Perfect for salad","Drain","Green Healthy Cooking",""
"Pinto Beans","Unsoaked","High","20","Cover by 2 inches","Natural release","Perfect for rice and beans","Drain","Green Healthy Cooking",""
"Pinto Beans","Unsoaked","High","25","Cover by 2 inches","Natural release","Suitable for soups","Drain","Green Healthy Cooking",""
"Navy Beans","Unsoaked","High","25-30","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","Low Salt Kitchen/Simplify Live Love",""
"Navy Beans","Soaked 8-12 hrs","High","15","Cover by 2 inches","Natural release","Hold shape","Drain","Green Healthy Cooking",""
"Navy Beans","Unsoaked","High","30","Cover by 2 inches","Natural release","Tender","Drain","Various sources",""
"Cannellini Beans","Unsoaked","High","30-35","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Cannellini Beans","Soaked overnight","High","8-10","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Cannellini Beans","Unsoaked","High","35-40","4 cups per 1 lb beans","Natural release","Tender","Drain","Low Salt Kitchen",""
"Great Northern Beans","Unsoaked","High","25-30","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","Low Salt Kitchen",""
"Great Northern Beans","Unsoaked","High","35-40","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Great Northern Beans","Soaked overnight","High","8-10","4 cups per 1 lb beans","20 min Natural release","Tender","Drain","A Little And A Lot","https://alittleandalot.com/instant-pot-beans/"
"Black-Eyed Peas","Unsoaked","High","8-10","1:3","Natural release","9 min=perfect tender","Remove debris, season","EatPlant-Based",""
"Black-Eyed Peas","Unsoaked","High","20-25","Enough to cover","Natural release","Tender","Drain","Instant Pot Eats",""
"Black-Eyed Peas","Soaked","High","10-15","Enough to cover","Natural release","Tender","Drain","Instant Pot Eats",""
"Black-Eyed Peas","Soaked 6-8 hrs","High","5","2 cups water per 1 cup peas","10 min NPR then manual","Tender","Drain","Everyday Nourishing",""
"Black-Eyed Peas","Unsoaked","High","14-16","3 cups water per 1 cup peas","10 min NPR then manual","Tender","Drain","Everyday Nourishing",""
"Black-Eyed Peas","Unsoaked","High","30","6 cups broth","10-15 min Natural release","Tender","Drain some liquid","Will Cook For Smiles",""
"Black-Eyed Peas","Soaked","High","15","6 cups broth","10-15 min Natural release","Tender","Drain some liquid","Will Cook For Smiles",""
"Black-Eyed Peas","Unsoaked","High","8-10","1:3","10 min Natural release","8=with bite; 10=soft","Drain","Key To My Lime",""
"Black-Eyed Peas","Unsoaked","High","9","3 cups water per 1 cup","15 min Natural release","Tender","Drain","Bean Recipes",""
"Black-Eyed Peas","Unsoaked","High","25","6 cups with aromatics","15-20 min Natural release","Tender","Drain","My Sequined Life",""
"Split Peas (Green)","Unsoaked","High","18","6 cups broth per 1 lb peas","15 min NPR then quick","Very tender (soup)","Remove bay leaves","Simply Happy Foodie",""
"Split Peas (Green)","Unsoaked","High","5-8","1:2 to 1:3","Natural release","Soft, soupy","Stir","Minimalist Baker",""
"Split Peas (Green)","Unsoaked","High","3","With vegetables","Natural release","Soft","Use in soup","Minimalist Baker variation",""
"Split Peas (Yellow)","Unsoaked","High","5","1:3","5 min NPR","Soft, soup-like","Stir","Plant Based IP",""
"Mung Beans","Unsoaked","High","24-25","1:3","Natural release","Tender","Drain","Instant Pot Eats",""
"Mung Beans","Soaked","High","15-17","1:3","Natural release","Tender","Drain","Instant Pot Eats",""
"Mung Beans","Unsoaked","High","0","1:3","10 min NPR","Al dente, salad-worthy","Drain and rinse","Hey Nutrition Lady",""
"Mung Beans","Unsoaked","Stovetop","30","1:3","N/A","Tender","Drain","Hey Nutrition Lady",""
"Lima Beans","Unsoaked","High","20","1:2 (estimate)","Natural release","Tender","Drain","The Typical Mom chart",""
"Lima Beans","Soaked","High","15","Water to cover","Natural release","Tender","Drain","Various",""
"Adzuki Beans","Unsoaked","High","15-20","Cover by 2 inches","Natural release","Tender","Drain","Green Healthy Cooking",""
"Fava Beans","Unsoaked","High","20-25","Cover beans","Natural release","Tender","Remove skins if desired","General sources",""
"Potatoes (whole small)","Fresh","High","5-8","1-2 cups water","Quick release","Fork-tender","Remove immediately","Various sources",""
"Potatoes (whole medium)","Fresh","High","8-12","1-2 cups water","Quick release","Fork-tender","Remove immediately","Instant Pot Root Veggies","https://littleblueplates.com/2017/01/01/instant-pot-root-veggies/"
"Potatoes (quartered small)","Fresh","High","3","2 cups water","Quick release","Tender","Drain","Kitchen Skip",""
"Potatoes (1-inch cubes)","Fresh","High","7","2 cups water","Quick release","Tender","Drain","Taste of Home",""
"Potatoes (russet, whole large)","Fresh","High","15-18","1 cup water","Quick release","Fork-tender","Remove immediately","Taste of Home",""
"Sweet Potatoes (whole)","Fresh","High","15-18","1 cup water","Quick release","Fork-tender","Remove immediately","Taste of Home",""
"Sweet Potatoes (1-inch cubes)","Fresh","High","4","1 cup water","Quick release","Tender","Remove immediately","Taste of Home",""
"Carrots (sliced/shredded)","Fresh","High","0","1 cup water on trivet","Quick release","Soft-crisp","Remove immediately","Instant Pot Eats",""
"Carrots (whole/chunked)","Fresh","High","1-3","1 cup water on trivet","Quick release","Tender","Remove immediately","Instant Pot Eats",""
"Carrots (baby"," whole)","Fresh","High","3","2 cups water","Quick release","Tender","Drain","Kitchen Skip",""
"Carrots (1-inch pieces)","Fresh","High","2","1 cup water on trivet","Quick release","Tender","Remove immediately","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Carrots (whole)","Fresh","High","4","1 cup water on trivet","Quick release","Tender","Remove immediately","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Beets (whole small)","Fresh","High","12-15","1 cup water on trivet","Quick release","Fork-tender","Skins peel easily","Various sources",""
"Beets (whole medium)","Fresh","High","20-25","1 cup water on trivet","Quick release","Fork-tender","Skins peel easily","Various sources",""
"Turnips (cubed)","Fresh","High","3-4","1 cup water","Quick release","Tender","Remove immediately","Instant Pot Eats",""
"Parsnips (cubed)","Fresh","High","2-4","1 cup water","Quick release","Tender","Remove immediately","Instant Pot Eats",""
"Broccoli (florets)","Fresh","High","0","1/2-1 cup water on trivet","Quick release","Tender, bright green","Remove immediately","Real Food Real Deals","https://realfoodrealdeals.com/instant-pot-cauliflower/"
"Broccoli (florets)","Fresh","High","1","1 cup water on trivet","Quick release","Soft","Remove immediately","Kitchen Stewardship","https://www.kitchenstewardship.com/how-to-pressure-cook-dry-beans-without-soaking/"
"Broccoli (florets)","Fresh","Low","1","1 cup water on trivet","Quick release","Al dente","Remove immediately","Various sources",""
"Cauliflower (florets)","Fresh","High","0","1 cup water on trivet","Quick release","Tender","Remove immediately","Real Food Real Deals","https://realfoodrealdeals.com/instant-pot-cauliflower/"
"Cauliflower (small florets)","Fresh","High","0","1 cup water on trivet","Quick release","Tender","Remove immediately","Taste of Home",""
"Cauliflower (florets)","Fresh","High","1","1 cup water on trivet","Quick release","Tender","Remove immediately","Various sources",""
"Cauliflower (whole head)","Fresh","High","1-3","1 cup water on trivet","Quick release","Tender","Remove immediately","Kitchen Stewardship","https://www.kitchenstewardship.com/how-to-pressure-cook-dry-beans-without-soaking/"
"Green Beans","Fresh","High","0","1 cup water on trivet","Quick release","Crisp-tender","Remove immediately","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Green Beans (2-inch pieces)","Fresh","High","5","1 cup water","Quick release","Tender","Remove immediately","365 Days Crockpot",""
"Brussels Sprouts (halved)","Fresh","High","1","1 cup water on trivet","Quick release","Tender","Remove immediately","Eating Instantly",""
"Brussels Sprouts (whole)","Fresh","High","2-3","1 cup water on trivet","Quick release","Tender","Remove immediately","Various sources",""
"Asparagus","Fresh","High","0-1","1 cup water on trivet","Quick release","Tender","Remove immediately","Piping Pot Curry","https://pipingpotcurry.com/instant-pot-cooking-times/"
"Asparagus (whole spears)","Fresh","High","1-2","1 cup water on trivet","Quick release","Tender","Remove immediately","Real + Vibrant",""
"Corn on the Cob","Fresh","High","2","1 cup water on trivet","Quick release","Tender, sweet","Remove immediately","Six Sisters Stuff",""
"Corn on the Cob","Fresh","High","4","1.5 cups water","Quick release","Tender","Remove immediately","Food Network",""
"Corn on the Cob","Fresh","High","2-3","1 cup water","Quick release","Tender","Slather with butter","Various sources",""
"Artichokes (small whole)","Fresh","High","8-10","1 cup water on trivet","10 min NPR then QR","Fork-tender stem","Remove immediately","The Kitchen Girl",""
"Artichokes (medium whole)","Fresh","High","12-15","1 cup water on trivet","10 min NPR then QR","Fork-tender stem","Remove immediately","The Kitchen Girl",""
"Artichokes (large whole)","Fresh","High","15-20","1 cup water on trivet","10 min NPR then QR","Fork-tender stem","Remove immediately","The Kitchen Girl",""
"Kale/Collards (chopped)","Fresh","High","3-5","1 cup water","Quick release","Tender","Remove immediately","General sources",""
"Spinach (fresh)","Fresh","High","0-1","1 cup water","Quick release","Wilted","Remove immediately","General sources",""
